"10 om te zien" 	50.6402809 4.6667145
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Pie" 	27.7567667 -81.4639835
"American Pie" 	35.1490215 -90.0516285
"American Pie" 	29.9499323 -90.0701156
"American Pie" 	37.7790262 -122.4199061
"American Pie" 	35.6869996 -105.9377997
"American Pie" 	31.8160381 -99.5120986
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Amigos son los amigos" 	-34.9964963 -64.9672817
"Angela" 	29.9499323 -90.0701156
"Another Way of Telling" 	46.068820849999994 6.344536991587102
"Another Way of Telling" 	51.8333313 -2.1666674
"Another Way of Telling" 	46.134722 6.523333
"Another Way of Telling" 	51.7373356 -2.6398283
"Another Way of Telling" 	46.134722 6.523333
"Another Way of Telling" 	63.2467777 25.9209164
"Another Way of Telling" 	46.1532703 6.4935045
"Another Way of Telling" 	63.2467777 25.9209164
"Another Way of Telling" 	46.134722 6.523333
"Another Way of Telling" 	63.2467777 25.9209164
"Another Way of Telling" 	51.8333313 -2.1666674
