"	-34.9964963 -64.9672817
"100 Deeds for Eddie McDowd" 	34.1338751 -117.9056046
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	36.1672559 -115.1485163
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	36.9225615 -121.8517849
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.001631 -118.8066756
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angela ja ajan tuulet" 	60.1674098 24.9425769
"Anna Says" 	40.7127281 -74.0060152
"Anni \'60" 	44.0176138 10.453151842727024
