"1-800-Missing" 	43.66996435 -79.33452913814912
"America\'s Next Top Model" 	-33.8536692 151.2133527
"America\'s Next Top Model" 	-10.3333333 -53.2
"America\'s Next Top Model" 	35.6828387 139.7594549
"America\'s Next Top Model" 	34.0536909 -118.2427666
"America\'s Next Top Model" 	35.3084749 24.463320724202934
"America\'s Next Top Model" 	34.0536909 -118.2427666
"America\'s Next Top Model" 	22.1757605 113.5514142
"America\'s Next Top Model" 	43.6425637 -79.38708718320467
"America\'s Next Top Model" 	43.653963 -79.387207
"America\'s Next Top Model" 	28.5421109 -81.3790304
"America\'s Next Top Model" 	31.6258257 -7.9891608
"America\'s Next Top Model" 	33.995044 -118.4668875
"America\'s Next Top Model" 	34.10258315 -118.34019700458315
"America\'s Next Top Model" 	33.995044 -118.4668875
"America\'s Next Top Model" 	39.7837304 -100.4458825
"America\'s Next Top Model" 	34.0536909 -118.2427666
"America\'s Next Top Model" 	34.0536909 -118.2427666
"America\'s Next Top Model" 	35.3084749 24.463320724202934
"America\'s Next Top Model" 	39.7837304 -100.4458825
"America\'s Next Top Model" 	-8.3304977 115.0906401
"America\'s Next Top Model" 	-8.789154799999999 115.16300971612904
"America\'s Next Top Model" 	-2.4833826 117.8902853
"America\'s Next Top Model" 	-8.789154799999999 115.16300971612904
"America\'s Next Top Model" 	37.564982549999996 126.93921080358436
"America\'s Next Top Model" 	37.564982549999996 126.93921080358436
"America\'s Next Top Model" 	37.564982549999996 126.93921080358436
"America\'s Next Top Model" 	37.564982549999996 126.93921080358436
"America\'s Next Top Model" 	34.1362075 -118.0401497
"America\'s Next Top Model" 	31.6258257 -7.9891608
"America\'s Next Top Model" 	33.99377791836735 -118.47963851020408
"America\'s Next Top Model" 	39.7837304 -100.4458825
"America\'s Next Top Model" 	33.99377791836735 -118.47963851020408
"America\'s Next Top Model" 	22.2793278 114.1628131
"America\'s Next Top Model" 	33.995044 -118.4668875
"America\'s Next Top Model" 	45.4668 9.1905
