"2011 World Series" 	38.6268039 -90.1994097
"2011 World Series" 	38.6268039 -90.1994097
"2012 the Webseries" 	15.6356088 -89.8988087
"2012 the Webseries" 	43.653963 -79.387207
"2012 the Webseries" 	45.421106 -75.690308
"2012 the Webseries" 	45.6500335 13.7706559
"2012 the Webseries" 	45.4371908 12.3345898
"2012 the Webseries" 	48.1371079 11.5753822
"220 Volts" 	-22.9110137 -43.2093727
"24 Hours in the ER" 	51.5073219 -0.1276474
"3 Gun Nation" 	36.1556805 -95.9929113
"3 Guys in a Booth" 	41.8755616 -87.6244212
"3 MInutes in Hell" 	34.0536909 -118.2427666
"3 Rounds With" 	34.0250724 -118.4965129
"30 Days of Dice Living" 	43.653963 -79.387207
"31" 	33.7490987 -84.3901849
"32 Brinkburn Street" 	53.50652485 -2.3374401422576687
"32 Brinkburn Street" 	53.4759994 -2.1498995
"32 Brinkburn Street" 	53.4794892 -2.2451148
"36 Hour Challenge" 	-37.8142176 144.9631608
"3D Tourist" 	37.7790262 -122.4199061
"3D Tourist" 	32.7174209 -117.1627714
"3D Tourist" 	40.7127281 -74.0060152
"3D Tourist" 	25.7742658 -80.1936589
"3D Tourist" 	24.6670875 -81.5831421
"4 Ambientes" 	-34.9964963 -64.9672817
"4 Ambientes" 	-34.9964963 -64.9672817
"4 Ambientes" 	-34.9964963 -64.9672817
"4 Ambientes" 	-34.9964963 -64.9672817
"4-H at the Minnesota State Fair" 	44.9504037 -93.1015026
"48 Hours: Best of the Fest" 	-41.5000831 172.8344077
"4	-34.9964963 -64.9672817
"50 Documentaries to See Before You Die" 	51.5073219 -0.1276474
"50 Documentaries to See Before You Die" 	34.0536909 -118.2427666
"50 Documentaries to See Before You Die" 	40.7127281 -74.0060152
"50 Documentaries to See Before You Die" 	48.8566969 2.3514616
"6PM with George Negus" 	-33.8536692 151.2133527
"7 Cities" 	36.8889933 -76.2481624
"7 Cities" 	37.0520315 -76.2856365
"7 Cities" 	36.795302500000005 -76.05092512258113
"7 Minutes in Heaven" 	40.7127281 -74.0060152
"7.30" 	-37.717870000000005 145.15669012917934
"7live" 	37.7790262 -122.4199061
"8 Days a Week" 	34.0536909 -118.2427666
"8 Days a Week" 	34.0536909 -118.2427666
"8 Days a Week" 	34.0536909 -118.2427666
"8 Days a Week" 	34.0536909 -118.2427666
"8 Days a Week" 	34.0536909 -118.2427666
"8 Days a Week" 	34.0536909 -118.2427666
"8 Days a Week" 	34.0536909 -118.2427666
"8 Days a Week" 	34.0536909 -118.2427666
"8 Days a Week" 	34.0536909 -118.2427666
"8 Days a Week" 	34.0536909 -118.2427666
"8 for Vegas" 	40.7127281 -74.0060152
"86\'d" 	34.0536909 -118.2427666
"9ine" 	34.0536909 -118.2427666
"A Change in Degree" 	33.2098879 -97.15147474975808
"A Dancing Dream" 	34.0536909 -118.2427666
"A Day in the Life" 	41.8755616 -87.6244212
"A Day in the Life" 	40.7127281 -74.0060152
"A Day in the Life" 	38.8948932 -77.0365529
"A Fertile Alternative" 	9.6000359 7.9999721
"A Football Life" 	33.3015121 -88.6147687
"A Football Life" 	37.7790262 -122.4199061
"A Football Life" 	37.4863239 -122.2325233
"A Football Life" 	37.2333253 -121.6846349
"A Football Life" 	38.7907339 -121.2357828
"A Football Life" 	37.9577016 -121.2907796
"A Football Life" 	38.8976998 -77.03655348862276
"A Football Life" 	40.7989522 -81.3784445
"A Fortune Teller Told Me" 	17.1750495 95.9999652
"A Fortune Teller Told Me" 	13.5066394 104.869423
"A Fortune Teller Told Me" 	22.3511148 78.6677428
"A Fortune Teller Told Me" 	20.0171109 103.378253
"A Fortune Teller Told Me" 	4.5693754 102.2656823
"A Fortune Teller Told Me" 	14.8971921 100.83273
"A Fortune Teller Told Me" 	13.2904027 108.4265113
"A Gifted Man" 	40.7513513 -73.94424267969767
"A Gifted Man" 	40.7513513 -73.94424267969767
"A Gifted Man" 	40.7513513 -73.94424267969767
"A Gifted Man" 	40.7513513 -73.94424267969767
"A Gifted Man" 	40.7513513 -73.94424267969767
"A Gifted Man" 	40.7513513 -73.94424267969767
"A Gifted Man" 	40.7513513 -73.94424267969767
"A Gifted Man" 	40.7513513 -73.94424267969767
"A Gifted Man" 	40.7513513 -73.94424267969767
"A Gifted Man" 	40.7513513 -73.94424267969767
"A Gifted Man" 	40.7513513 -73.94424267969767
"A Gifted Man" 	40.7513513 -73.94424267969767
"A Gifted Man" 	40.7513513 -73.94424267969767
"A Gifted Man" 	40.7513513 -73.94424267969767
"A Gifted Man" 	40.7513513 -73.94424267969767
"A Gifted Man" 	40.7513513 -73.94424267969767
"A Gifted Man" 	40.7513513 -73.94424267969767
